i_id,j_id,cost
M1_9,M2_5,28.77
M1_9,M2_6,52.73
M1_9,M2_7,65.13
M1_9,M2_8,82.32
M1_9,M2_9,104.8
M1_9,M2_10,54.41
M1_9,M2_11,41.76
M1_9,M2_12,107.6
M1_9,M2_13,36.81
M1_9,M2_14,71.73
M1_9,M2_15,80.95
M1_9,M2_16,29.8
M1_9,M2_17,69.16
M1_9,M2_18,69.55
M1_9,M2_19,108.03
M1_9,M2_20,58.3
M1_10,M2_1,136.73
M1_10,M2_2,134.48
M1_10,M2_3,57.87
M1_10,M2_4,51.31
M1_10,M2_5,82.43
M1_10,M2_6,116.49
M1_10,M2_7,61.14
M1_10,M2_8,135.64
M1_10,M2_9,145.11
M1_10,M2_10,46.9
M1_10,M2_11,27.53
M1_10,M2_12,97.85
M1_10,M2_13,70.78
M1_10,M2_14,129.31
M1_10,M2_15,67.77
M1_10,M2_16,87.07
M1_10,M2_17,93.52
M1_10,M2_18,68.83
M1_10,M2_19,117.83
M1_10,M2_20,10.95
