j_id,r_id,cost
M2_2,C37,178.95
M2_2,C38,187.22
M2_2,C39,111.21
M2_2,C40,98.75
M2_2,C41,176.61
M2_2,C42,242.75
M2_2,C43,244.27
M2_2,C44,60.77
M2_2,C45,126.79
M2_2,C46,104.67
M2_2,C47,240.3
M2_2,C48,215.81
M2_2,C49,117.61
M2_2,C50,214.27
M2_2,C51,138.53
M2_2,C52,190.67
M2_2,C53,179.53
M2_2,C54,123.53
M2_2,C55,133.53
M2_2,C56,240.15
M2_2,C57,151.72
M2_2,C58,101.98
M2_2,C59,165.74
M2_2,C60,205.97
M2_2,C61,179.96
M2_2,C62,94.72
M2_2,C63,194.29
M2_2,C64,206.97
M2_2,C65,182.36
M2_2,C66,190.01
M2_2,C67,90.62
M2_2,C68,28.57
M2_2,C69,205.56
M2_2,C70,115.59
M2_2,C71,84.73
M2_2,C72,176.73
M2_2,C73,138.87
M2_2,C74,152.61
M2_2,C75,184.93
M2_2,C76,151.05
M2_2,C77,164.49
M2_2,C78,164.83
M2_2,C79,141.77
M2_2,C80,201.62
M2_2,C81,111.14
M2_2,C82,246.47
M2_2,C83,18.69
M2_2,C84,15.94
M2_2,C85,211.73
M2_2,C86,211.91
M2_2,C87,103.62
M2_2,C88,203.01
M2_2,C89,232.11
M2_2,C90,185.05
M2_2,C91,261.3
M2_2,C92,141.94
M2_2,C93,211.43
M2_2,C94,259.0
M2_2,C95,88.91
M2_2,C96,200.64
M2_2,C97,140.57
M2_2,C98,81.18
M2_2,C99,195.64
M2_2,C100,14.51
M2_3,C1,83.81
M2_3,C2,235.08
M2_3,C3,179.89
M2_3,C4,167.79
M2_3,C5,56.79
M2_3,C6,266.93
M2_3,C7,158.04
M2_3,C8,262.5
M2_3,C9,155.23
M2_3,C10,33.89
M2_3,C11,265.74
M2_3,C12,235.12
M2_3,C13,216.51
M2_3,C14,223.12
M2_3,C15,196.78
M2_3,C16,87.68
M2_3,C17,211.91
M2_3,C18,13.6
M2_3,C19,163.67
M2_3,C20,57.36
M2_3,C21,113.26
M2_3,C22,211.46
M2_3,C23,89.27
M2_3,C24,129.8
M2_3,C25,243.53
M2_3,C26,224.56
M2_3,C27,157.22
M2_3,C28,131.55
M2_3,C29,226.6
M2_3,C30,108.56
M2_3,C31,102.57
M2_3,C32,157.16
M2_3,C33,130.25
M2_3,C34,211.26
M2_3,C35,188.15
M2_3,C36,80.54
M2_3,C37,129.56
M2_3,C38,183.49
M2_3,C39,200.15
M2_3,C40,168.19
M2_3,C41,95.58
M2_3,C42,78.49
M2_3,C43,41.03
M2_3,C44,268.19
M2_3,C45,217.12
M2_3,C46,192.93
M2_3,C47,105.04
M2_3,C48,107.97
M2_3,C49,192.1
M2_3,C50,140.62
M2_3,C51,165.04
M2_3,C52,92.89
M2_3,C53,162.46
M2_3,C54,164.75
M2_3,C55,194.82
M2_3,C56,60.05
M2_3,C57,110.22
M2_3,C58,219.26
M2_3,C59,177.59
M2_3,C60,140.93
M2_3,C61,172.84
M2_3,C62,188.32
M2_3,C63,78.81
M2_3,C64,125.96
M2_3,C65,81.31
M2_3,C66,112.98
M2_3,C67,228.54
M2_3,C68,250.38
M2_3,C69,118.23
M2_3,C70,179.81
M2_3,C71,195.86
M2_3,C72,167.81
M2_3,C73,225.23
M2_3,C74,164.01
M2_3,C75,196.25
M2_3,C76,224.04
M2_3,C77,113.77
M2_3,C78,156.05
M2_3,C79,161.29
M2_3,C80,197.3
M2_3,C81,224.98
M2_3,C82,54.81
M2_3,C83,245.58
M2_3,C84,251.51
M2_3,C85,80.35
M2_3,C86,53.19
M2_3,C87,158.68
M2_3,C88,161.07
M2_3,C89,114.07
M2_3,C90,82.2
M2_3,C91,25.36
M2_3,C92,120.94
M2_3,C93,51.11
M2_3,C94,31.89
M2_3,C95,182.36
M2_3,C96,139.6
M2_3,C97,183.72
M2_3,C98,226.36
M2_3,C99,165.59
M2_3,C100,247.45
M2_4,C1,26.78
M2_4,C2,207.08
M2_4,C3,221.99
M2_4,C4,60.62
M2_4,C5,125.82
M2_4,C6,225.97
M2_4,C7,216.86
M2_4,C8,199.13
M2_4,C9,208.91
M2_4,C10,91.04
M2_4,C11,217.52
M2_4,C12,193.43
M2_4,C13,182.1
M2_4,C14,119.76
M2_4,C15,237.91
M2_4,C16,85.72
M2_4,C17,212.29
M2_4,C18,121.64
M2_4,C19,56.73
M2_4,C20,81.23
M2_4,C21,73.65
M2_4,C22,165.37
M2_4,C23,155.77
M2_4,C24,157.78
M2_4,C25,177.87
M2_4,C26,194.35
M2_4,C27,72.53
M2_4,C28,55.77
M2_4,C29,213.03
M2_4,C30,166.55
M2_4,C31,26.71
M2_4,C32,123.16
M2_4,C33,87.98
M2_4,C34,202.54
M2_4,C35,80.52
M2_4,C36,70.47
M2_4,C37,159.2
M2_4,C38,75.03
M2_4,C39,189.67
M2_4,C40,136.01
M2_4,C41,113.02
M2_4,C42,46.33
M2_4,C43,69.69
M2_4,C44,230.62
M2_4,C45,117.23
M2_4,C46,177.76
M2_4,C47,176.85
M2_4,C48,164.25
M2_4,C49,184.86
M2_4,C50,192.04
M2_4,C51,70.0
M2_4,C52,127.49
M2_4,C53,54.39
M2_4,C54,79.29
M2_4,C55,95.02
M2_4,C56,54.1
M2_4,C57,82.12
M2_4,C58,204.18
M2_4,C59,198.04
M2_4,C60,35.07
M2_4,C61,201.47
M2_4,C62,165.07
M2_4,C63,42.69
M2_4,C64,20.91
M2_4,C65,91.22
M2_4,C66,10.94
M2_4,C67,138.67
M2_4,C68,180.28
M2_4,C69,12.7
M2_4,C70,91.5
M2_4,C71,167.57
M2_4,C72,59.91
M2_4,C73,227.48
M2_4,C74,176.99
M2_4,C75,224.4
M2_4,C76,118.82
M2_4,C77,126.26
M2_4,C78,176.72
M2_4,C79,166.69
M2_4,C80,233.22
M2_4,C81,128.92
M2_4,C82,139.38
M2_4,C83,182.36
M2_4,C84,196.22
M2_4,C85,28.18
M2_4,C86,96.87
M2_4,C87,108.01
M2_4,C88,203.49
M2_4,C89,179.64
M2_4,C90,101.54
M2_4,C91,126.6
M2_4,C92,98.75
M2_4,C93,74.43
M2_4,C94,84.76
M2_4,C95,112.06
M2_4,C96,32.23
M2_4,C97,83.16
M2_4,C98,200.87
M2_4,C99,57.55
M2_4,C100,187.14
M2_5,C1,178.76
M2_5,C2,91.05
M2_5,C3,48.74
M2_5,C4,216.05
M2_5,C5,124.88
M2_5,C6,130.15
M2_5,C7,77.41
M2_5,C8,164.16
M2_5,C9,66.63
M2_5,C10,151.86
M2_5,C11,140.56
M2_5,C12,112.4
M2_5,C13,92.56
M2_5,C14,231.79
M2_5,C15,55.7
M2_5,C16,114.74
M2_5,C17,39.19
M2_5,C18,185.65
M2_5,C19,212.9
M2_5,C20,136.8
M2_5,C21,124.62
M2_5,C22,110.33
M2_5,C23,102.22
M2_5,C24,50.1
M2_5,C25,157.65
M2_5,C26,89.09
M2_5,C27,165.37
M2_5,C28,155.65
M2_5,C29,65.75
M2_5,C30,83.97
M2_5,C31,216.5
M2_5,C32,91.81
M2_5,C33,115.86
M2_5,C34,50.42
M2_5,C35,230.2
M2_5,C36,130.97
M2_5,C37,50.47
M2_5,C38,239.3
M2_5,C39,48.79
M2_5,C40,85.64
M2_5,C41,91.08
M2_5,C42,213.08
M2_5,C43,189.44
M2_5,C44,126.08
M2_5,C45,217.17
M2_5,C46,55.24
M2_5,C47,103.01
M2_5,C48,82.55
M2_5,C49,41.89
M2_5,C50,63.53
M2_5,C51,183.98
M2_5,C52,87.44
M2_5,C53,218.69
M2_5,C54,167.37
M2_5,C55,205.43
M2_5,C56,198.58
M2_5,C57,115.0
M2_5,C58,63.6
M2_5,C59,6.35
M2_5,C60,224.94
M2_5,C61,20.86
M2_5,C62,68.56
M2_5,C63,160.17
M2_5,C64,215.3
M2_5,C65,113.38
M2_5,C66,189.43
M2_5,C67,198.23
M2_5,C68,169.5
M2_5,C69,208.48
M2_5,C70,175.36
M2_5,C71,77.4
M2_5,C72,220.3
M2_5,C73,48.28
M2_5,C74,19.77
M2_5,C75,31.14
M2_5,C76,239.75
M2_5,C77,73.44
M2_5,C78,23.86
M2_5,C79,31.63
M2_5,C80,45.89
M2_5,C81,211.13
M2_5,C82,135.91
M2_5,C83,154.3
M2_5,C84,143.65
M2_5,C85,184.99
M2_5,C86,130.69
M2_5,C87,115.51
M2_5,C88,45.73
M2_5,C89,91.46
M2_5,C90,105.97
M2_5,C91,164.42
M2_5,C92,99.2
M2_5,C93,148.12
M2_5,C94,196.9
M2_5,C95,144.95
M2_5,C96,219.67
M2_5,C97,202.37
M2_5,C98,82.64
M2_5,C99,233.66
M2_5,C100,150.13
M2_6,C1,212.42
M2_6,C2,12.59
M2_6,C3,143.59
M2_6,C4,210.82
M2_6,C5,200.85
M2_6,C6,33.63
M2_6,C7,175.25
M2_6,C8,84.01
M2_6,C9,164.58
M2_6,C10,214.07
M2_6,C11,48.59
M2_6,C12,36.11
M2_6,C13,37.7
M2_6,C14,199.31
M2_6,C15,144.14
M2_6,C16,162.48
M2_6,C17,62.02
M2_6,C18,256.55
M2_6,C19,209.28
M2_6,C20,192.47
M2_6,C21,150.71
M2_6,C22,59.69
M2_6,C23,189.02
M2_6,C24,132.58
M2_6,C25,88.94
M2_6,C26,25.13
M2_6,C27,159.01
M2_6,C28,164.87
M2_6,C29,33.08
M2_6,C30,174.36
M2_6,C31,244.96
M2_6,C32,97.93
M2_6,C33,133.3
M2_6,C34,47.53
M2_6,C35,217.13
M2_6,C36,175.17
M2_6,C37,134.28
M2_6,C38,231.27
M2_6,C39,52.47
M2_6,C40,84.94
M2_6,C41,152.03
M2_6,C42,252.27
M2_6,C43,241.79
M2_6,C44,28.26
M2_6,C45,183.89
M2_6,C46,55.33
M2_6,C47,195.55
M2_6,C48,172.2
M2_6,C49,61.26
M2_6,C50,160.37
M2_6,C51,174.64
M2_6,C52,159.64
M2_6,C53,216.95
M2_6,C54,156.43
M2_6,C55,182.37
M2_6,C56,243.8
M2_6,C57,146.84
M2_6,C58,34.49
M2_6,C59,104.2
M2_6,C60,235.95
M2_6,C61,118.55
M2_6,C62,59.26
M2_6,C63,197.54
M2_6,C64,232.0
M2_6,C65,166.84
M2_6,C66,209.24
M2_6,C67,152.49
M2_6,C68,99.89
M2_6,C69,227.89
M2_6,C70,155.77
M2_6,C71,53.38
M2_6,C72,216.01
M2_6,C73,64.27
M2_6,C74,99.33
M2_6,C75,116.51
M2_6,C76,209.21
M2_6,C77,134.79
M2_6,C78,112.06
M2_6,C79,93.77
M2_6,C80,132.86
M2_6,C81,171.38
M2_6,C82,216.47
M2_6,C83,82.86
M2_6,C84,63.51
M2_6,C85,220.32
M2_6,C86,193.98
M2_6,C87,111.72
M2_6,C88,143.66
M2_6,C89,185.1
M2_6,C90,164.97
M2_6,C91,239.07
M2_6,C92,131.25
M2_6,C93,202.2
M2_6,C94,253.89
M2_6,C95,120.63
M2_6,C96,230.24
M2_6,C97,185.19
M2_6,C98,20.8
M2_6,C99,233.78
M2_6,C100,75.72
M2_7,C1,52.44
M2_7,C2,150.64
M2_7,C3,177.88
M2_7,C4,73.73
M2_7,C5,109.76
M2_7,C6,171.18
M2_7,C7,179.95
M2_7,C8,150.64
M2_7,C9,170.37
M2_7,C10,89.78
M2_7,C11,164.16
M2_7,C12,138.31
M2_7,C13,125.89
M2_7,C14,111.98
M2_7,C15,192.57
M2_7,C16,51.29
M2_7,C17,157.5
M2_7,C18,133.3
M2_7,C19,69.97
M2_7,C20,68.43
M2_7,C21,22.64
M2_7,C22,110.54
M2_7,C23,130.32
M2_7,C24,114.36
M2_7,C25,130.0
M2_7,C26,137.95
M2_7,C27,38.65
M2_7,C28,13.93
M2_7,C29,156.7
M2_7,C30,134.93
M2_7,C31,81.91
M2_7,C32,66.66
M2_7,C33,32.01
M2_7,C34,146.74
M2_7,C35,91.54
M2_7,C36,44.83
M2_7,C37,116.23
M2_7,C38,96.67
M2_7,C39,133.9
M2_7,C40,79.46
M2_7,C41,75.29
M2_7,C42,92.18
M2_7,C43,94.41
M2_7,C44,175.33
M2_7,C45,102.46
M2_7,C46,121.73
M2_7,C47,150.64
M2_7,C48,132.17
M2_7,C49,129.62
M2_7,C50,154.08
M2_7,C51,51.72
M2_7,C52,93.37
M2_7,C53,74.44
M2_7,C54,45.8
M2_7,C55,81.81
M2_7,C56,88.72
M2_7,C57,33.5
M2_7,C58,147.83
M2_7,C59,148.31
M2_7,C60,79.37
M2_7,C61,154.04
M2_7,C62,108.62
M2_7,C63,43.92
M2_7,C64,71.53
M2_7,C65,60.41
M2_7,C66,46.83
M2_7,C67,108.8
M2_7,C68,134.79
M2_7,C69,66.08
M2_7,C70,60.87
M2_7,C71,111.0
M2_7,C72,77.11
M2_7,C73,172.65
M2_7,C74,126.48
M2_7,C75,175.53
M2_7,C76,115.93
M2_7,C77,82.27
M2_7,C78,128.57
M2_7,C79,114.86
M2_7,C80,186.35
M2_7,C81,107.29
M2_7,C82,127.5
M2_7,C83,133.45
M2_7,C84,144.54
M2_7,C85,60.53
M2_7,C86,82.36
M2_7,C87,52.29
M2_7,C88,160.8
M2_7,C89,149.81
M2_7,C90,69.99
M2_7,C91,128.14
M2_7,C92,47.1
M2_7,C93,70.01
M2_7,C94,109.89
M2_7,C95,64.74
M2_7,C96,73.93
M2_7,C97,72.89
M2_7,C98,144.32
M2_7,C99,88.22
M2_7,C100,137.11
M2_8,C1,101.9
M2_8,C2,99.04
M2_8,C3,149.19
M2_8,C4,109.97
M2_8,C5,123.0
M2_8,C6,121.13
M2_8,C7,161.04
M2_8,C8,109.89
M2_8,C9,150.02
M2_8,C10,119.03
M2_8,C11,116.06
M2_8,C12,88.12
M2_8,C13,74.42
M2_8,C14,124.53
M2_8,C15,161.31
M2_8,C16,65.92
M2_8,C17,111.17
M2_8,C18,164.61
M2_8,C19,107.31
M2_8,C20,95.39
M2_8,C21,42.02
M2_8,C22,61.26
M2_8,C23,130.49
M2_8,C24,93.02
M2_8,C25,91.54
M2_8,C26,86.36
M2_8,C27,57.52
M2_8,C28,54.74
M2_8,C29,106.52
M2_8,C30,127.19
M2_8,C31,133.48
M2_8,C32,17.57
M2_8,C33,23.64
M2_8,C34,98.17
M2_8,C35,122.4
M2_8,C36,72.68
M2_8,C37,95.33
M2_8,C38,132.83
M2_8,C39,85.64
M2_8,C40,28.91
M2_8,C41,73.22
M2_8,C42,141.99
M2_8,C43,137.01
M2_8,C44,124.67
M2_8,C45,110.6
M2_8,C46,72.89
M2_8,C47,147.32
M2_8,C48,124.25
M2_8,C49,82.9
M2_8,C50,135.91
M2_8,C51,76.03
M2_8,C52,90.43
M2_8,C53,113.98
M2_8,C54,58.91
M2_8,C55,97.12
M2_8,C56,135.6
M2_8,C57,42.52
M2_8,C58,97.64
M2_8,C59,112.34
M2_8,C60,127.31
M2_8,C61,121.66
M2_8,C62,58.35
M2_8,C63,88.78
M2_8,C64,121.65
M2_8,C65,74.06
M2_8,C66,98.02
M2_8,C67,99.0
M2_8,C68,99.56
M2_8,C69,116.97
M2_8,C70,67.23
M2_8,C71,59.68
M2_8,C72,114.64
M2_8,C73,125.95
M2_8,C74,90.69
M2_8,C75,139.59
M2_8,C76,131.93
M2_8,C77,67.46
M2_8,C78,97.1
M2_8,C79,77.33
M2_8,C80,153.08
M2_8,C81,107.33
M2_8,C82,141.6
M2_8,C83,93.1
M2_8,C84,99.33
M2_8,C85,109.94
M2_8,C86,103.46
M2_8,C87,8.67
M2_8,C88,135.34
M2_8,C89,142.4
M2_8,C90,78.32
M2_8,C91,153.06
M2_8,C92,34.39
M2_8,C93,102.3
M2_8,C94,151.05
M2_8,C95,41.97
M2_8,C96,121.64
M2_8,C97,93.85
M2_8,C98,92.81
M2_8,C99,130.1
M2_8,C100,94.77
M2_9,C1,67.04
M2_9,C2,134.83
M2_9,C3,145.15
M2_9,C4,106.73
M2_9,C5,85.4
M2_9,C6,161.53
M2_9,C7,147.06
M2_9,C8,152.61
M2_9,C9,137.39
M2_9,C10,76.38
M2_9,C11,157.99
M2_9,C12,128.74
M2_9,C13,112.46
M2_9,C14,140.92
M2_9,C15,160.09
M2_9,C16,24.95
M2_9,C17,131.51
M2_9,C18,121.99
M2_9,C19,103.0
M2_9,C20,52.73
M2_9,C21,10.48
M2_9,C22,103.14
M2_9,C23,100.73
M2_9,C24,81.39
M2_9,C25,133.78
M2_9,C26,122.81
M2_9,C27,65.91
M2_9,C28,45.75
M2_9,C29,135.27
M2_9,C30,103.28
M2_9,C31,103.22
M2_9,C32,50.31
M2_9,C33,20.7
M2_9,C34,123.21
M2_9,C35,124.23
M2_9,C36,29.85
M2_9,C37,83.24
M2_9,C38,129.7
M2_9,C39,110.42
M2_9,C40,62.9
M2_9,C41,43.46
M2_9,C42,105.8
M2_9,C43,95.45
M2_9,C44,164.16
M2_9,C45,129.75
M2_9,C46,99.4
M2_9,C47,120.28
M2_9,C48,100.45
M2_9,C49,104.76
M2_9,C50,121.17
M2_9,C51,82.11
M2_9,C52,62.0
M2_9,C53,107.4
M2_9,C54,71.64
M2_9,C55,110.82
M2_9,C56,96.39
M2_9,C57,1.0
M2_9,C58,126.65
M2_9,C59,117.28
M2_9,C60,109.62
M2_9,C61,122.03
M2_9,C62,89.09
M2_9,C63,50.51
M2_9,C64,99.69
M2_9,C65,34.21
M2_9,C66,73.84
M2_9,C67,129.0
M2_9,C68,141.07
M2_9,C69,92.97
M2_9,C70,85.51
M2_9,C71,94.04
M2_9,C72,110.13
M2_9,C73,146.67
M2_9,C74,95.85
M2_9,C75,144.15
M2_9,C76,145.94
M2_9,C77,49.25
M2_9,C78,96.72
M2_9,C79,85.22
M2_9,C80,154.25
M2_9,C81,131.69
M2_9,C82,103.98
M2_9,C83,135.7
M2_9,C84,142.14
M2_9,C85,74.46
M2_9,C86,62.24
M2_9,C87,48.85
M2_9,C88,127.86
M2_9,C89,118.41
M2_9,C90,41.55
M2_9,C91,111.61
M2_9,C92,17.6
M2_9,C93,59.42
M2_9,C94,108.88
M2_9,C95,75.78
M2_9,C96,104.48
M2_9,C97,103.26
M2_9,C98,127.25
M2_9,C99,120.78
M2_9,C100,137.61
M2_10,C1,127.0
M2_10,C2,131.27
M2_10,C3,73.18
M2_10,C4,182.02
M2_10,C5,63.38
M2_10,C6,168.63
M2_10,C7,71.87
M2_10,C8,185.01
M2_10,C9,62.09
M2_10,C10,90.67
M2_10,C11,173.43
M2_10,C12,141.8
M2_10,C13,120.55
M2_10,C14,212.7
M2_10,C15,89.53
M2_10,C16,63.33
M2_10,C17,95.85
M2_10,C18,123.86
M2_10,C19,178.25
M2_10,C20,78.24
M2_10,C21,85.78
M2_10,C22,127.15
M2_10,C23,47.54
M2_10,C24,11.87
M2_10,C25,171.89
M2_10,C26,123.84
M2_10,C27,138.74
M2_10,C28,120.96
M2_10,C29,115.13
M2_10,C30,36.67
M2_10,C31,164.72
M2_10,C32,82.42
M2_10,C33,86.07
M2_10,C34,98.83
M2_10,C35,199.46
M2_10,C36,78.85
M2_10,C37,11.92
M2_10,C38,204.91
M2_10,C39,89.95
M2_10,C40,85.51
M2_10,C41,36.04
M2_10,C42,156.98
M2_10,C43,129.75
M2_10,C44,167.26
M2_10,C45,200.04
M2_10,C46,86.95
M2_10,C47,58.34
M2_10,C48,33.9
M2_10,C49,81.17
M2_10,C50,45.96
M2_10,C51,156.18
M2_10,C52,26.13
M2_10,C53,182.41
M2_10,C54,143.27
M2_10,C55,183.26
M2_10,C56,140.85
M2_10,C57,74.86
M2_10,C58,109.31
M2_10,C59,59.8
M2_10,C60,181.18
M2_10,C61,57.01
M2_10,C62,89.71
M2_10,C63,108.22
M2_10,C64,169.27
M2_10,C65,58.55
M2_10,C66,143.9
M2_10,C67,191.32
M2_10,C68,182.39
M2_10,C69,161.56
M2_10,C70,155.31
M2_10,C71,99.5
M2_10,C72,185.33
M2_10,C73,108.21
M2_10,C74,47.16
M2_10,C75,81.05
M2_10,C76,218.74
M2_10,C77,26.62
M2_10,C78,38.13
M2_10,C79,48.26
M2_10,C80,86.27
M2_10,C81,198.79
M2_10,C82,76.25
M2_10,C83,170.89
M2_10,C84,167.72
M2_10,C85,131.98
M2_10,C86,69.86
M2_10,C87,100.98
M2_10,C88,54.46
M2_10,C89,51.15
M2_10,C90,49.04
M2_10,C91,103.06
M2_10,C92,65.09
M2_10,C93,89.48
M2_10,C94,135.96
M2_10,C95,134.3
M2_10,C96,176.52
M2_10,C97,176.95
M2_10,C98,121.99
M2_10,C99,195.11
M2_10,C100,169.37
M2_11,C1,195.07
M2_11,C2,60.67
M2_11,C3,78.2
M2_11,C4,219.41
M2_11,C5,154.9
M2_11,C6,98.67
M2_11,C7,110.67
M2_11,C8,139.54
M2_11,C9,100.42
M2_11,C10,177.68
M2_11,C11,111.15
M2_11,C12,86.29
M2_11,C13,69.4
M2_11,C14,225.8
M2_11,C15,79.39
M2_11,C16,134.0
M2_11,C17,4.35
M2_11,C18,214.85
M2_11,C19,216.75
M2_11,C20,159.91
M2_11,C21,135.95
M2_11,C22,91.73
M2_11,C23,135.36
M2_11,C24,80.32
M2_11,C25,136.72
M2_11,C26,62.11
M2_11,C27,166.65
M2_11,C28,162.21
M2_11,C29,32.35
M2_11,C30,117.92
M2_11,C31,231.82
M2_11,C32,91.9
M2_11,C33,123.19
M2_11,C34,20.13
M2_11,C35,231.1
M2_11,C36,149.59
M2_11,C37,81.29
M2_11,C38,242.18
M2_11,C39,26.88
M2_11,C40,81.74
M2_11,C41,114.4
M2_11,C42,232.07
M2_11,C43,212.57
M2_11,C44,93.64
M2_11,C45,210.55
M2_11,C46,39.17
M2_11,C47,137.57
M2_11,C48,116.28
M2_11,C49,26.7
M2_11,C50,98.41
M2_11,C51,184.92
M2_11,C52,115.12
M2_11,C53,223.36
M2_11,C54,167.08
M2_11,C55,202.14
M2_11,C56,219.41
M2_11,C57,127.99
M2_11,C58,32.77
M2_11,C59,40.65
M2_11,C60,234.28
M2_11,C61,54.33
M2_11,C62,55.57
M2_11,C63,177.3
M2_11,C64,226.44
M2_11,C65,134.81
M2_11,C66,201.05
M2_11,C67,186.67
M2_11,C68,148.7
M2_11,C69,220.44
M2_11,C70,172.29
M2_11,C71,61.13
M2_11,C72,224.1
M2_11,C73,18.22
M2_11,C74,44.46
M2_11,C75,51.55
M2_11,C76,234.62
M2_11,C77,95.77
M2_11,C78,55.01
M2_11,C79,47.22
M2_11,C80,68.15
M2_11,C81,202.05
M2_11,C82,167.56
M2_11,C83,132.32
M2_11,C84,118.37
M2_11,C85,202.06
M2_11,C86,156.41
M2_11,C87,114.5
M2_11,C88,79.57
M2_11,C89,126.17
M2_11,C90,129.24
M2_11,C91,194.57
M2_11,C92,111.08
M2_11,C93,170.97
M2_11,C94,221.72
M2_11,C95,138.65
M2_11,C96,228.74
M2_11,C97,201.09
M2_11,C98,53.55
M2_11,C99,239.32
M2_11,C100,126.99
M2_12,C1,236.29
M2_12,C2,50.25
M2_12,C3,185.75
M2_12,C4,219.93
M2_12,C5,237.56
M2_12,C6,13.62
M2_12,C7,217.52
M2_12,C8,63.89
M2_12,C9,206.81
M2_12,C10,246.74
M2_12,C11,25.46
M2_12,C12,46.58
M2_12,C13,63.93
M2_12,C14,196.53
M2_12,C15,185.74
M2_12,C16,193.54
M2_12,C17,104.04
M2_12,C18,290.7
M2_12,C19,219.16
M2_12,C20,224.09
M2_12,C21,176.38
M2_12,C22,74.02
M2_12,C23,228.53
M2_12,C24,172.58
M2_12,C25,78.29
M2_12,C26,57.4
M2_12,C27,171.89
M2_12,C28,183.36
M2_12,C29,75.2
M2_12,C30,214.83
M2_12,C31,265.53
M2_12,C32,124.93
M2_12,C33,158.11
M2_12,C34,89.76
M2_12,C35,222.42
M2_12,C36,204.43
M2_12,C37,174.42
M2_12,C38,237.97
M2_12,C39,93.66
M2_12,C40,112.85
M2_12,C41,187.04
M2_12,C42,276.37
M2_12,C43,270.61
M2_12,C44,14.13
M2_12,C45,181.86
M2_12,C46,94.12
M2_12,C47,236.3
M2_12,C48,212.55
M2_12,C49,102.25
M2_12,C50,202.25
M2_12,C51,184.72
M2_12,C52,196.76
M2_12,C53,227.17
M2_12,C54,167.62
M2_12,C55,185.52
M2_12,C56,270.23
M2_12,C57,174.65
M2_12,C58,76.61
M2_12,C59,146.45
M2_12,C60,250.33
M2_12,C61,160.82
M2_12,C62,93.36
M2_12,C63,223.41
M2_12,C64,248.77
